group,name,key,value
Nationality,FRANCIA,18A5,CE38
Nationality,GABON,18A5,C7E2
Nationality,GAMBIA,18A5,9E17
Nationality,GAZA,18A5,67CE
Nationality,GEORGIA,18A5,B904
Nationality,GERMANIA,18A5,3558
Nationality,GHANA,18A5,CF50
Nationality,GIAMAICA,18A5,F721
Nationality,GIAPPONE,18A5,9B2D
Nationality,GIBILTERRA,18A5,01BD
Nationality,GIBUTI,18A5,D94D
Nationality,GIORDANIA,18A5,E442
Nationality,GRECIA,18A5,FDC1
Nationality,GRENADA,18A5,9E7C
Nationality,GUADALUPA,18A5,B01B
Nationality,GUATEMALA,18A5,D8A1
Nationality,GUINEA,18A5,AEE3
Nationality,GUYANA,18A5,5DD0
Nationality,HAITI,18A5,368C
Nationality,HONDURAS,18A5,D32F
Nationality,INDIA,18A5,B72B
Nationality,INDONESIA,18A5,18FF
Nationality,INGHILTERRA,18A5,B0D8
Nationality,IRAN,18A5,BE77
Nationality,IRAQ,18A5,7636
Nationality,IRLANDA,18A5,487C
Nationality,ISLANDA,18A5,997D
Nationality,ISOLA DI GUAM,18A5,FBE0
Nationality,ISOLE CAYMAN,18A5,7E81
Nationality,ISOLE MARIANNE,18A5,1465
Nationality,ISOLE VERGINI AMERICANE,18A5,447A
Nationality,ISRAELE,18A5,5AA2
Nationality,ITALIA,18A5,E079
Nationality,KAZAKISTAN,18A5,5CD7
Nationality,KENYA,18A5,917D
Nationality,KIRGHIZISTAN,18A5,B6E7
Nationality,KOSOVO,18A5,8C60
Nationality,KUWAIT,18A5,8611
Nationality,LAOS,18A5,DE42
Nationality,LESOTHO,18A5,4618
Nationality,LETTONIA,18A5,CA06
Nationality,LIBANO,18A5,C487
Nationality,LIBERIA,18A5,0487
Nationality,LIBIA,18A5,C206
Nationality,LIECHTENSTEIN,18A5,4A1E
Nationality,LITUANIA,18A5,E2F5
Nationality,LUSSEMBURGO,18A5,3509
Nationality,MADAGASCAR,18A5,03E7
Nationality,MALAWI,18A5,AEEE
Nationality,MALAYSIA,18A5,9318
Nationality,MALDIVE,18A5,4587
Nationality,MALESIA,18A5,8DAE
Nationality,MALI,18A5,19C2
Nationality,MALTA,18A5,F151
Nationality,MAROCCO,18A5,F683
Nationality,MARTINICA,18A5,3169
Nationality,MAURITIUS,18A5,E296
Nationality,MESSICO,18A5,2098
