node1,node2,reach
Sirdata,Sirdata [Hot Prospects] Gourmet Food & Drinks,4892000
Sirdata,Sirdata [Hot Prospects] Grants & Fincial Assistance,65000
Sirdata,Sirdata [Hot Prospects] Hair Care,86000
Sirdata,Sirdata [Hot Prospects] Health insurance,75000
Sirdata,Sirdata [Hot Prospects] Home Education,22000
Sirdata,Sirdata [Hot Prospects] Home Insurance, 
Sirdata,Sirdata [Hot Prospects] Home Security,9781000
Sirdata,Sirdata [Hot Prospects] Home heating and cooling,7445000
Sirdata,Sirdata [Hot Prospects] Honeymoons Getaways (Travel),6042000
Sirdata,Tail Target,
Sirdata,ARGENTI,18000000
Sirdata,BRAZIL,481000000
Sirdata,COLOMBIA,18000000
Sirdata,GLOBAL,645000000
Sirdata,MEXICO,58000000
Sirdata,UNITED STATES,61000000
Ubiquity,Rosella,
Ubiquity,Veda,823000
Ubiquity,INIVIO,16000000
Visa,,
Visa,VisaVue Audiences,1299000000
Weborama,,
Weborama,Weborama segments for country COUNTRY, 
Weborama,Weborama segments for country ES,8000000
Weborama,Weborama segments for country FR,212000000
Weborama,Weborama segments for country IT,85000000
Xaxis,,
Xaxis,Xaxis Audience Search 20160301,2463000
Yahoo Games,,
Yahoo Games,Yahoo Games Users, 
Yahoo Games,Yahoo Games Employees - Mobile Ad Tracking, 
Yahoo Games,Yahoo Games Experiments,464
eXelate,,3324000000
eXelate,Alliant, 
eXelate,Alliant Composites, 
eXelate,Branded Data,1632000000
eXelate,Dataium, 
eXelate,Kantar Shopcom, 
eXelate,MasterCard, 
eXelate,MasterCard Custom Genome, 
eXelate,Nielsen Segments,1909000000
eXelate,Other,144
eXelate,Private Data,64000000
eXelate,eXelate Segments,3305000000
nuggad,,
nuggad,nuggad > de > factual > intent > fince 1 > fince > general,1000000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > all_pages,4573000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand audi,4504000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand bmw,4506000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand chevrolet,4494000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand chrysler,4494000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand fiat,4495000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand ford,4497000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand honda,4494000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand hyundai,4495000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand kia,4495000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand mazda,4494000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand mercedes,4507000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand nissan,4497000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand opel,4496000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand peugeot,4501000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand porsche,4497000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand reult,450000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand seat,4494000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand smart,4493000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand toyota,4501000
nuggad,nuggad > fr > factual > intent > automotive provider 1 > brand volkswagen,4507000
nuggad,nuggad > it > factual > intent > automotive provider 1 > all_pages,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand audi,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand bmw,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand chevrolet,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand chrysler,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand fiat,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand ford,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand honda,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand hyundai,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand kia,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand mazda,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand mercedes,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand nissan,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand opel,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand peugeot,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand porsche,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand reult,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand seat,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand smart,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand toyota,29000000
nuggad,nuggad > it > factual > intent > automotive provider 1 > brand volkswagen,29000000
zzz - Prod Test Provider,,
zzz - Prod Test Provider,1st Party, 
zzz - Prod Test Provider,Syndicated Segments, 
zzz - Prod Test Provider,perf test seg1,4
zzz - Prod Test Provider,perf test seg2,7
zzz - Prod Test Provider,perf test seg3,8
zzz - Prod Test Provider,perf test seg4, 
zzz - Prod Test Provider,perf test1,3
zzz - Prod Test Provider,perf test2,4
zzz - Prod Test Provider,perf test3,5
zzz - Prod v1 Test Provider,,
zzz - Prod v1 Test Provider,1st Party, 
zzz - Prod v1 Test Provider,Syndicated Segments, 
zzz - Prod v1 Test Provider,perf test seg1,15000
zzz - Prod v1 Test Provider,perf test seg2,7
zzz - Prod v1 Test Provider,perf test seg3,8
zzz - Prod v1 Test Provider,perf test1,3
zzz - Prod v1 Test Provider,perf test2,4
